"Unidade da Federa��o";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Dez";" Total"
"27 Alagoas";"926";"770";"354";"513";"712";"549";"551";"682";"649";"505";"630";"522";"568";"590";"556";"467";"304";"541";"389";"539";"209";"432";"497";"361";"752";"788";"685";"504";"531";"576";"480";"804";"562";"469";"590";"415";"593";"560";"297";"781";"516";"435";"799";"744";"563";"566";"434";"377";"659";"691";"436";"542";"571";"713";"640";"612";"526";"362";"534";"588";"703";"445";"560";"458";"1519";"816";"809";"397";"504";"519";"499";"591";"692";"508";"486";"515";"550";"464";"456";"491";"539";"281";"529";"446";"3812";"4668";"2969";"1255";"1745";"1220";"1047";"1039";"839";"810";"1049";"912";"9643";"6764";"11828";"7046";"6948";"3000";"2182";"1928";"1588";"1246";"1362";"1379";"1175";"2022";"1472";"1193";"1240";"1138";"988";"1208";"1297";"1459";"1476";"2059";"1982";"2466";"1403";"252";"340";"305";"829";"4235";"5412";"20933";"11458";"7003";"9324";"8420";"11063";"10097";"10349";"870";"0";"247035"
"28 Sergipe";"352";"549";"466";"349";"550";"554";"457";"470";"561";"1300";"735";"395";"553";"352";"408";"979";"431";"508";"669";"655";"496";"538";"483";"496";"688";"798";"562";"681";"558";"600";"557";"463";"371";"436";"452";"201";"565";"354";"386";"750";"260";"265";"749";"647";"527";"254";"447";"542";"618";"386";"422";"311";"1236";"862";"336";"497";"483";"480";"680";"504";"515";"574";"338";"348";"409";"698";"443";"579";"339";"202";"294";"222";"302";"225";"299";"134";"301";"258";"243";"256";"239";"145";"247";"114";"3215";"3697";"2732";"2207";"1371";"844";"404";"636";"454";"785";"1052";"659";"13055";"8147";"5794";"3230";"2492";"1694";"2710";"1976";"1444";"1001";"1449";"1855";"1448";"2088";"1250";"1307";"1167";"793";"956";"647";"868";"866";"759";"749";"745";"1028";"574";"101";"124";"236";"362";"466";"400";"439";"563";"368";"409";"368";"301";"313";"296";"11";"0";"122863"
"29 Bahia";"35723";"42525";"57233";"81203";"81176";"75440";"50830";"58683";"50991";"42003";"40580";"42311";"36690";"43615";"39891";"57094";"73799";"66002";"59841";"76441";"73046";"60675";"68376";"47252";"40334";"43061";"48082";"48330";"59524";"53357";"44146";"57094";"56490";"45223";"38935";"29555";"29039";"34480";"43739";"49780";"50672";"50926";"45788";"55146";"70973";"45116";"41530";"33266";"35488";"40587";"47686";"52538";"51481";"39811";"38245";"42925";"48879";"43240";"34581";"30417";"32954";"33081";"45011";"41469";"43409";"36594";"38402";"105753";"65856";"52549";"41538";"30284";"40146";"40763";"39369";"39880";"41065";"33563";"36020";"36879";"156687";"72116";"35548";"25929";"165072";"253134";"189832";"437103";"184564";"87223";"55514";"44949";"46609";"32392";"27148";"21724";"182857";"82326";"54412";"39567";"26826";"18577";"25071";"25092";"22108";"24854";"22376";"17344";"29028";"26245";"24728";"25460";"24254";"16679";"25801";"25853";"22408";"32426";"27772";"17780";"38928";"64572";"53777";"21578";"49071";"45562";"49730";"40388";"38890";"77820";"41595";"24642";"28292";"27060";"30956";"28257";"20512";"1773";"0";"7215260"
"31 Minas Gerais";"102660";"87456";"113892";"184904";"208721";"151500";"113920";"113173";"78476";"67024";"75538";"65660";"84771";"109852";"163288";"192078";"222283";"122163";"101511";"109630";"118150";"153517";"84277";"95524";"108434";"91560";"111041";"78607";"151557";"101425";"89141";"99452";"66648";"68247";"60153";"50066";"66628";"65529";"79563";"137195";"102760";"89211";"79945";"93576";"87062";"72084";"60998";"47190";"71044";"63981";"76786";"77644";"77828";"59326";"64477";"59823";"72324";"61910";"52316";"40205";"68873";"54767";"89018";"76668";"102714";"78892";"77075";"183692";"88490";"77056";"70827";"57338";"76405";"65712";"71551";"86033";"88061";"71424";"70390";"72553";"376377";"94317";"65363";"53439";"1933574";"1620796";"1248074";"233409";"90237";"45757";"36470";"33757";"49765";"33653";"38018";"37734";"764106";"407006";"180188";"92571";"56438";"38561";"39233";"42120";"29859";"38320";"33208";"28207";"44814";"37229";"36432";"36047";"41577";"33205";"36008";"31343";"23836";"44471";"33450";"22911";"65786";"135189";"100522";"50212";"118335";"82601";"82068";"68670";"53782";"148303";"70765";"43155";"50006";"42547";"45417";"57506";"33294";"2168";"0";"16795449"
"32 Esp�rito Santo";"2981";"1649";"1840";"1612";"1913";"1742";"1818";"1845";"1271";"1339";"1344";"1679";"1660";"1482";"1502";"1878";"1442";"2202";"2260";"2415";"1689";"1836";"1779";"2140";"2210";"1858";"1817";"1557";"1999";"1876";"2952";"2100";"1419";"1786";"1720";"1695";"2330";"1138";"1449";"1928";"1803";"1716";"3451";"2315";"1810";"1766";"1809";"1692";"1883";"1789";"1873";"2039";"1756";"1851";"1916";"2246";"2083";"2319";"1618";"2297";"1452";"1078";"1342";"972";"1287";"1562";"1885";"1519";"1193";"1061";"850";"1324";"1385";"1048";"1121";"1348";"1465";"1417";"1866";"1346";"1254";"1110";"1144";"1252";"408932";"624551";"1207456";"149589";"71308";"30895";"12402";"18854";"15422";"11469";"15732";"297034";"28899";"17659";"13835";"8123";"7269";"6231";"6812";"7339";"6029";"6596";"6818";"5381";"9026";"8075";"7673";"7272";"8254";"6048";"8041";"8634";"7159";"9596";"10743";"7683";"14960";"33928";"23404";"6062";"15832";"11892";"13531";"14020";"13341";"35023";"18899";"12521";"13591";"10616";"10219";"10797";"9032";"935";"0";"3495907"
"33 Rio de Janeiro";"8827";"6557";"7233";"6162";"7616";"6836";"7912";"6865";"7187";"5721";"6437";"7023";"8245";"7117";"5916";"7634";"7646";"9048";"8898";"9336";"7404";"7443";"7152";"8998";"11397";"7691";"8043";"6398";"6797";"7460";"9086";"7850";"6053";"7488";"6702";"7389";"9995";"6418";"7600";"8227";"8181";"8989";"9914";"8741";"7682";"7677";"7195";"7187";"9242";"8275";"8269";"8467";"8686";"6776";"9316";"8075";"8868";"8589";"6809";"7950";"7531";"5605";"6281";"5974";"6546";"7342";"7895";"6268";"5836";"5786";"5025";"6251";"6787";"4830";"5354";"5228";"4865";"5091";"5976";"5805";"6138";"6452";"6497";"7989";"106998";"349523";"2540844";"1111871";"546641";"317592";"280941";"120737";"134567";"77301";"60954";"50639";"2043975";"280063";"154473";"49710";"40305";"84068";"25626";"20829";"20909";"231132";"76405";"109482";"38809";"35715";"32613";"27014";"29681";"24455";"26648";"24467";"20327";"31931";"81962";"17330";"30516";"31501";"28667";"10168";"22239";"21814";"26460";"28234";"24967";"70923";"34119";"19661";"26497";"21269";"25350";"22045";"23924";"2391";"0";"10313329"
"35 S�o Paulo";"240820";"174463";"102530";"143223";"127376";"90081";"64228";"58756";"46400";"44641";"53066";"49456";"66492";"59356";"54274";"61384";"90342";"65161";"60828";"59899";"47749";"51559";"52995";"61822";"69537";"56044";"60619";"55449";"88683";"69123";"66043";"64752";"47705";"50205";"47889";"44655";"60595";"53564";"57096";"87740";"69404";"65390";"62325";"59128";"55596";"51648";"46706";"46157";"57541";"50881";"58471";"63316";"65922";"50347";"54030";"50216";"54418";"52150";"41676";"42739";"50480";"39718";"47464";"42321";"59545";"51553";"50856";"70267";"45367";"45454";"43654";"43738";"51352";"40795";"45177";"47595";"51005";"44765";"44350";"40406";"175967";"58939";"63596";"58755";"413655";"569027";"329220";"459927";"337805";"159014";"85525";"97102";"209235";"738151";"736486";"910700";"3033371";"545657";"402295";"186823";"119338";"83774";"173420";"144514";"118110";"123094";"211986";"199581";"228511";"298514";"188789";"153533";"149672";"124994";"140888";"134557";"123891";"145547";"108236";"83134";"169923";"256228";"194637";"78095";"183943";"153551";"158111";"135672";"120983";"270981";"154667";"94429";"126188";"102394";"97906";"125655";"65691";"5253";"0";"20080163"
"41 Paran�";"44235";"50058";"61312";"125399";"104863";"72127";"53472";"43089";"31105";"27433";"29798";"26591";"29994";"37213";"52693";"104356";"82209";"46663";"36556";"50464";"50811";"45626";"40269";"33681";"32448";"32143";"36055";"36207";"51712";"37305";"36449";"54056";"31157";"30936";"26945";"22059";"31085";"27972";"30084";"49421";"34730";"32133";"33744";"43734";"37325";"31341";"31234";"26086";"31276";"29050";"41736";"42035";"35389";"28710";"35694";"35024";"36184";"34061";"31584";"24589";"32238";"31588";"44829";"39617";"49786";"37239";"34386";"85608";"35832";"36717";"36382";"32104";"40533";"35665";"35856";"42158";"38699";"37092";"34748";"35501";"129128";"39271";"36634";"28172";"89388";"90430";"86954";"37740";"27491";"20603";"19080";"20991";"29673";"18028";"19787";"16512";"97978";"60050";"46185";"71150";"28011";"22269";"32471";"37117";"29528";"40760";"96168";"59580";"107318";"363685";"205218";"161944";"92938";"62260";"45723";"55942";"47598";"54852";"46564";"28428";"62942";"159480";"107849";"30165";"80444";"56068";"55106";"41622";"41640";"109011";"106931";"63211";"54461";"57541";"34339";"40005";"17647";"1093";"0";"7041462"
"42 Santa Catarina";"9813";"7580";"9853";"10481";"12108";"11243";"9941";"14107";"9783";"7797";"10937";"7628";"8186";"8757";"11993";"24167";"31366";"42539";"31089";"42905";"34412";"33265";"33039";"20193";"17252";"20660";"16920";"12179";"22569";"16201";"14293";"29882";"12154";"12209";"10693";"8366";"11244";"9318";"9672";"17219";"10768";"11475";"12120";"14291";"12289";"10619";"9919";"7724";"10883";"10151";"10133";"10866";"10210";"8058";"16490";"16571";"11639";"10979";"10440";"7451";"10107";"8326";"9742";"8841";"10839";"7084";"11006";"18189";"9171";"9184";"8842";"7766";"10719";"9149";"8828";"10601";"9981";"8872";"8424";"8441";"32878";"10304";"9505";"6903";"32946";"32208";"35190";"15724";"12126";"9490";"7651";"7313";"12641";"6935";"7890";"6801";"57605";"41385";"29642";"23897";"21071";"20705";"25255";"22832";"54005";"105922";"106879";"56570";"58664";"328276";"344493";"488014";"179357";"63910";"67370";"60608";"69240";"84303";"82214";"26942";"75762";"175901";"76085";"25960";"47903";"34672";"30364";"21743";"23386";"69767";"40117";"19074";"26848";"33077";"30816";"32844";"15808";"880";"1";"4547873"
"43 Rio Grande do Sul";"18331";"14723";"17706";"18101";"14627";"16479";"10493";"12986";"9574";"7786";"10264";"9201";"10811";"11335";"12914";"12666";"19831";"21286";"31859";"55160";"31130";"27527";"36921";"20176";"21061";"18653";"20852";"17999";"18625";"19768";"20571";"47685";"20961";"20098";"19362";"15297";"19972";"18890";"19554";"20406";"15115";"22639";"16623";"16603";"24472";"38204";"14337";"11604";"22001";"17207";"16888";"16864";"12409";"12208";"16773";"15276";"14432";"14145";"12024";"12494";"16741";"13020";"18759";"14524";"11928";"12984";"19277";"66870";"21892";"19750";"20977";"17954";"23270";"21344";"19025";"18722";"15465";"18088";"17939";"19887";"116471";"27764";"24721";"18583";"58720";"63333";"83046";"23818";"14673";"12852";"13360";"21796";"43652";"16276";"16286";"15076";"88826";"54631";"43891";"26542";"17145";"14683";"20187";"21539";"17036";"27352";"22197";"17881";"25991";"26183";"23761";"27850";"24511";"22041";"58604";"50480";"23752";"39494";"35756";"21607";"36556";"128843";"65144";"17485";"38737";"36505";"34345";"26547";"25560";"99804";"57673";"24171";"24291";"21737";"22662";"29791";"16206";"1469";"0";"3572268"
"50 Mato Grosso do Sul";"10029";"9151";"13557";"19315";"20869";"14701";"12229";"11791";"8802";"8809";"9921";"8066";"12409";"10870";"11909";"14127";"20392";"13227";"11803";"14740";"10453";"11497";"13285";"8442";"13308";"11120";"14461";"11869";"21815";"14999";"13365";"16550";"12256";"10514";"9790";"7194";"11897";"9909";"12336";"21956";"14205";"12804";"11044";"13375";"13273";"11383";"10027";"7219";"14615";"12985";"14534";"17942";"16118";"13429";"14423";"14763";"13966";"11554";"12033";"7939";"13893";"11660";"16062";"12272";"19312";"12823";"12311";"30093";"15653";"11589";"11099";"8703";"13554";"12981";"12061";"13004";"16658";"14005";"11834";"12014";"41107";"14187";"11895";"8192";"38096";"47612";"27386";"13564";"10065";"7342";"6366";"6199";"10548";"5453";"5911";"4799";"19632";"11561";"8648";"7126";"6025";"5386";"6757";"7532";"6731";"6914";"6555";"4806";"8271";"7264";"6705";"6649";"7121";"7256";"8881";"7581";"5817";"7938";"7870";"6867";"9586";"14487";"10632";"4566";"10550";"10001";"10618";"9238";"8473";"21519";"14242";"7984";"9024";"7731";"8088";"10281";"5986";"597";"0";"1671163"
"51 Mato Grosso";"9415";"13317";"13554";"23656";"27920";"26845";"23069";"18310";"15099";"10342";"10292";"9629";"8794";"11105";"11805";"13370";"16719";"15293";"14319";"16249";"12581";"12540";"16687";"10903";"10581";"14489";"12920";"12845";"16176";"18009";"16485";"14904";"16588";"12619";"12398";"9676";"9806";"13212";"13788";"15357";"21356";"18114";"18287";"18308";"21870";"16357";"14484";"11219";"12031";"14966";"18829";"27119";"21560";"19033";"17658";"17063";"17490";"13910";"10404";"9880";"12585";"12604";"16947";"16305";"20057";"19401";"16464";"32162";"17929";"15800";"15592";"10675";"15402";"14307";"16145";"17114";"18358";"18382";"16802";"16334";"55663";"19137";"15014";"10977";"42529";"43456";"41641";"25035";"21767";"14929";"11797";"15269";"16346";"9915";"9840";"7644";"26944";"18647";"15756";"11849";"10953";"9210";"10974";"12254";"9395";"10498";"9337";"7962";"12003";"9976";"9519";"10423";"11360";"8829";"10465";"10099";"7026";"10647";"11157";"7886";"17001";"27317";"17584";"7272";"18650";"14549";"14664";"13140";"12630";"37780";"22187";"11133";"13849";"10951";"10970";"12038";"10516";"908";"0";"2168236"
"52 Goi�s";"23339";"23322";"27937";"40670";"40423";"34191";"32167";"27140";"17924";"15785";"17317";"16238";"21028";"21673";"21495";"23290";"31242";"25206";"21822";"27718";"21128";"34306";"22630";"38019";"24920";"20546";"27576";"23318";"35042";"29450";"25381";"30812";"19619";"20248";"18613";"13882";"24328";"21824";"26725";"40516";"32113";"32895";"26828";"33689";"28974";"22214";"19812";"14814";"25606";"22069";"25680";"25410";"26838";"17731";"22863";"22735";"23182";"21023";"21213";"14331";"21377";"24466";"36660";"24016";"31673";"55638";"40862";"76499";"30946";"22823";"32713";"21731";"27959";"26210";"26068";"27691";"28033";"25520";"20247";"31210";"112523";"29980";"23235";"17573";"90287";"77063";"63358";"38939";"26111";"16570";"13866";"14615";"20678";"11172";"11262";"8987";"46597";"25194";"20398";"16118";"13361";"12326";"14119";"17462";"12230";"13273";"12049";"9416";"16832";"14232";"14631";"14204";"14956";"11708";"14315";"14945";"12914";"13558";"13770";"8809";"22746";"35180";"22995";"9354";"33315";"23896";"23836";"20692";"21344";"63795";"32658";"16290";"17441";"15994";"17419";"25399";"13293";"1031";"0";"3511486"
"53 Distrito Federal";"13455";"10744";"17088";"22390";"17965";"12238";"10610";"10714";"10182";"8371";"7906";"8488";"9793";"8050";"7928";"11405";"17183";"9620";"9291";"8574";"8541";"8092";"3768";"8916";"11466";"9403";"10797";"9537";"17006";"12307";"10541";"12428";"4721";"10314";"7928";"7725";"12246";"10191";"12218";"17458";"13242";"11330";"24425";"13230";"12213";"9621";"8899";"8298";"11381";"8923";"11771";"11220";"12557";"9486";"11728";"10001";"9738";"9282";"7761";"5622";"9342";"11791";"12061";"10254";"18236";"17164";"11657";"23714";"2920";"2036";"2115";"1597";"15753";"21434";"14498";"19582";"21343";"20882";"16764";"17168";"72412";"18161";"11155";"23091";"45386";"44457";"34744";"15484";"9237";"6608";"5005";"5412";"7122";"5491";"5562";"5601";"31361";"14464";"9873";"7424";"5670";"5702";"6689";"7352";"5572";"6339";"5357";"5136";"7303";"6632";"6502";"6176";"7009";"5616";"6394";"8708";"6554";"7987";"6322";"5814";"12528";"24015";"17796";"6333";"16595";"12590";"9921";"11833";"9707";"25246";"14567";"7508";"9806";"7556";"8967";"10493";"11676";"1314";"0";"1653972"
"Total";"629269";"553432";"590719";"854040";"844514";"670463";"518539";"531520";"411441";"359387";"394950";"354045";"409697";"448342";"521827";"670595";"796316";"592174";"529428";"632372";"550971";"566011";"516803";"456532";"484975";"445789";"510569";"440608";"659108";"537730";"478779";"598668";"419094";"418120";"369776";"301451";"388734";"371976";"440682";"626162";"513667";"508095";"480976";"541589";"542131";"444067";"379041";"313485";"416969";"397118";"452662";"491109";"469973";"370449";"411170";"404948";"433190";"390049";"328119";"273411";"369405";"341499";"485238";"413270";"517744";"461745";"432926";"967437";"480740";"414353";"400714";"320784";"439201";"394161";"409598";"453712";"460706";"411888";"379427";"409086";"1652298";"509630";"405619";"330618";"3724041";"4143381";"6301398";"2765197";"1491298";"821105";"628062";"491771";"724405";"1048542";"1026616";"1437060";"6691328";"1737905";"1143449";"663944";"458932";"407929";"488127";"471858";"411442";"723425";"688199";"591463";"683768";"1257133";"988445";"1051222";"680495";"463939";"530961";"516501";"444275";"570407";"545931";"319494";"719442";"1270099";"1053844";"351925";"806339";"678211";"737502";"661574";"631993";"1604924";"899591";"499837";"553741";"498630";"493400";"563913";"372553";"30666";"1";"100881258"
